id,company_name,contact,email,address,notes
65bfd92afc13ae34700b2c43,Minyx,578-390-7049,rmoseby0@drupal.org,268 Thackeray Road,
65bfd92afc13ae34700b2c44,Quimba,900-934-2938,afarn1@deliciousdays.com,5308 Rusk Terrace,
65bfd92afc13ae34700b2c45,Innojam,347-114-7771,dpitt2@issuu.com,5766 Oak Valley Parkway,
65bfd92afc13ae34700b2c46,Thoughtstorm,224-293-7336,tthatcher3@cdc.gov,0 Summerview Parkway,
65bfd92afc13ae34700b2c47,Yozio,508-442-9669,mtribell4@dmoz.org,1 Maywood Terrace,
65bfd92afc13ae34700b2c48,Edgeify,903-405-8165,lokielt5@yellowbook.com,020 Raven Court,
65bfd92afc13ae34700b2c49,Skyvu,847-892-9065,kbaden6@nhs.uk,53033 Warbler Crossing,
65bfd92afc13ae34700b2c4a,Chatterbridge,446-631-1524,divanonko7@statcounter.com,8 Ridgeview Lane,
65bfd92afc13ae34700b2c4b,Voonyx,109-596-3656,lmcbrady8@dion.ne.jp,5 Mandrake Lane,
65bfd92afc13ae34700b2c4c,Jazzy,789-676-7679,ekornilov9@icq.com,0 Namekagon Point,
65bfd92afc13ae34700b2c4d,Realcube,417-788-5127,cmaplethorpea@gravatar.com,18 Grasskamp Lane,
65bfd92afc13ae34700b2c4e,Realcube,526-476-1607,jbelkb@hp.com,2 Warrior Avenue,
65bfd92afc13ae34700b2c4f,Realcube,284-329-1095,jdulenc@globo.com,527 Ridgeview Parkway,
65bfd92afc13ae34700b2c50,Zoovu,127-594-8782,kjacksd@taobao.com,1995 Utah Junction,
65bfd92afc13ae34700b2c51,Lajo,417-819-0869,wzanettinie@pbs.org,9759 Mallard Lane,
65bfd92afc13ae34700b2c52,Yambee,236-434-9521,rcreanyf@buzzfeed.com,25536 Fieldstone Crossing,
65bfd92afc13ae34700b2c53,Edgeclub,907-368-4369,kjamesg@wunderground.com,8 Bultman Center,
65bfd92afc13ae34700b2c54,Izio,167-878-5125,bhotsonh@illinois.edu,9515 Nobel Parkway,
65bfd92afc13ae34700b2c55,Topicshots,626-956-8484,jebbsi@free.fr,61 Russell Way,
65bfd92afc13ae34700b2c56,Podcat,658-299-4330,hadiscotj@netlog.com,0876 Spaight Point,
65bfd92afc13ae34700b2c57,Mynte,865-272-8680,afollissk@tripod.com,34876 Parkside Way,
65bfd92afc13ae34700b2c58,Abata,229-757-8953,abelhaml@stanford.edu,65880 Sommers Place,
65bfd92afc13ae34700b2c59,Zooveo,175-715-0721,jfoulstonem@cdc.gov,27 Bellgrove Plaza,
65bfd92afc13ae34700b2c5a,Ainyx,170-410-1445,etuckien@domainmarket.com,95 Carberry Circle,
65bfd92afc13ae34700b2c5b,Zazio,138-116-9895,ccolvieo@photobucket.com,7345 Westerfield Park,
65bfd92afc13ae34700b2c5c,Centidel,256-743-0780,fomandp@ftc.gov,30743 Melody Park,
65bfd92afc13ae34700b2c5d,Roomm,963-422-5442,jkernanq@techcrunch.com,43 Brown Lane,
65bfd92afc13ae34700b2c5e,Oyoyo,664-193-9730,rmiqueletr@cnbc.com,72799 Pond Pass,
65bfd92afc13ae34700b2c5f,Einti,542-530-7056,ppleveys@g.co,3218 Warbler Circle,
65bfd92afc13ae34700b2c60,Tazz,417-151-1404,oollerheadt@delicious.com,9 Riverside Way,
65bfd92afc13ae34700b2c61,Blogtag,575-406-1105,nflancinbaumu@nationalgeographic.com,03445 Arapahoe Road,
65bfd92afc13ae34700b2c62,Cogibox,890-223-8614,csprowsonv@zimbio.com,758 Basil Avenue,
65bfd92afc13ae34700b2c63,Trunyx,989-213-2211,zerbew@va.gov,47879 6th Junction,
65bfd92afc13ae34700b2c64,Skipstorm,439-659-6226,dcoffeyx@dagondesign.com,6 Swallow Junction,
65bfd92afc13ae34700b2c65,Wikivu,868-275-1788,awatty@columbia.edu,07 Orin Road,
65bfd92afc13ae34700b2c66,Babblestorm,220-256-1823,wdanburyz@alexa.com,4250 Namekagon Pass,
65bfd92afc13ae34700b2c67,Flipopia,369-292-3949,hsimpson10@businesswire.com,32262 Grover Terrace,
65bfd92afc13ae34700b2c68,Skilith,935-313-1641,ggorwood11@abc.net.au,93708 Division Parkway,
65bfd92afc13ae34700b2c69,Gabtune,907-701-6734,nalderwick12@intel.com,35827 Ludington Hill,
65bfd92afc13ae34700b2c6a,Thoughtstorm,722-165-7676,cshearman13@diigo.com,52 Susan Hill,
65bfd92afc13ae34700b2c6b,Meejo,472-444-9741,smassingberd14@issuu.com,620 Saint Paul Plaza,
65bfd92afc13ae34700b2c6c,Meevee,123-129-3393,jfraulo15@nytimes.com,1217 Magdeline Pass,
65bfd92afc13ae34700b2c6d,Thoughtsphere,336-431-1028,mryder16@so-net.ne.jp,7 Killdeer Circle,
